[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[17:58:17] ibm01: 20000 iters, fast=0.8603 tilos=0.8605 ov=0 (21s)
[17:58:39] ibm01: 40000 iters, fast=0.8416 tilos=0.8420 ov=0 (44s)
[17:59:01] ibm01: 60000 iters, fast=0.8328 tilos=0.8332 ov=0 (66s)
[17:59:24] ibm01: 80000 iters, fast=0.8271 tilos=0.8275 ov=0 (88s)
[17:59:45] ibm01: 100000 iters, fast=0.8224 tilos=0.8228 ov=0 (110s)
[18:00:07] ibm01: 120000 iters, fast=0.8192 tilos=0.8196 ov=0 (132s)
[18:00:29] ibm01: 140000 iters, fast=0.8174 tilos=0.8177 ov=0 (153s)
[18:00:52] ibm01: 160000 iters, fast=0.8152 tilos=0.8154 ov=0 (176s)
[18:01:14] ibm01: 180000 iters, fast=0.8139 tilos=0.8142 ov=0 (198s)
[18:01:36] ibm01: 200000 iters, fast=0.8127 tilos=0.8130 ov=0 (220s)
[18:01:58] ibm01: 220000 iters, fast=0.8121 tilos=0.8124 ov=0 (242s)
[18:02:20] ibm01: 240000 iters, fast=0.8112 tilos=0.8114 ov=0 (264s)
[18:02:42] ibm01: 260000 iters, fast=0.8104 tilos=0.8106 ov=0 (286s)
[18:03:04] ibm01: 280000 iters, fast=0.8089 tilos=0.8091 ov=0 (308s)
[18:03:26] ibm01: 300000 iters, fast=0.8077 tilos=0.8079 ov=0 (330s)
[18:03:47] ibm01: 320000 iters, fast=0.8069 tilos=0.8071 ov=0 (352s)
[18:04:09] ibm01: 340000 iters, fast=0.8059 tilos=0.8062 ov=0 (373s)
[18:04:31] ibm01: 360000 iters, fast=0.8052 tilos=0.8054 ov=0 (395s)
[18:04:53] ibm01: 380000 iters, fast=0.8043 tilos=0.8046 ov=0 (417s)
[18:05:15] ibm01: 400000 iters, fast=0.8038 tilos=0.8041 ov=0 (439s)
[18:05:37] ibm01: 420000 iters, fast=0.8033 tilos=0.8036 ov=0 (461s)
[18:05:59] ibm01: 440000 iters, fast=0.8027 tilos=0.8029 ov=0 (483s)
[18:06:21] ibm01: 460000 iters, fast=0.8022 tilos=0.8025 ov=0 (505s)
[18:06:43] ibm01: 480000 iters, fast=0.8019 tilos=0.8021 ov=0 (527s)
[18:07:05] ibm01: 500000 iters, fast=0.8013 tilos=0.8015 ov=0 (549s)
[18:07:05] ibm01: DONE (500000 iters, 549s)
[18:07:07] ibm02: fresh start from legalized reference
