benchmark,iters,fast_best,tilos,overlaps,seconds
ibm01,1000000,0.7954,0.7957,0,1098
ibm02,1000000,1.1311,1.1311,0,1666
ibm03,1000000,0.9887,0.9888,0,1267
ibm04,1000000,0.9826,0.9826,0,1329
ibm06,1000000,1.1425,1.1424,0,2196
ibm07,1000000,1.1004,1.0988,0,1987
ibm08,1000000,1.3039,1.3039,0,2583
ibm09,1000000,0.8503,0.8503,0,1729
ibm10,1000000,1.0567,1.0567,0,2814
ibm11,1000000,0.9065,0.9065,0,1977
ibm12,1000000,1.2036,1.2036,0,2975
ibm13,1000000,0.9832,0.9832,0,2418
ibm14,920000,1.1535,1.1535,0,3659
ibm15,960000,1.1564,1.1564,0,3665
ibm16,760000,1.1034,1.1034,0,3680
ibm17,640000,1.2765,1.2765,0,3624
ibm18,760000,1.2953,1.2953,0,3690
